occurrenceID,eventID,basisOfRecord,taxonID,scientificName,recordedBy,occurrenceStatus,individualCount,organismQuantity,organismQuantityType,publicDisplay,dataAccess,lifeStage,sex,reproductiveCondition,behavior,covariateSample,preparations,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,occurrenceRemarks,materialSampleID,recordNumber,organismRemarks,identificationID,diameter,diameter_flag,height,height_flag,pitchTubes,exitHoles,activeBranchCanker,inactiveBranchCanker,activeBoleCanker,inactiveBoleCanker,deadTop,percentLive,boleChar_text,boleChar_numeric,damageCodes,verbatimLatitude,verbatimLongitude
E1-PILA1,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-08-04,,,,,"cones, few flaglets",,,,,66.8,measured,20.9,measured,NONE,NONE,0,0,0,0,N,98,N,0,SD,37.69466403,-119.683172
E1-PILA2,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-08-04,,,,,"Still has some brown needles, weevils, crypto",,,,,129.4,measured,NA,NA,NONE,NONE,0,0,0,0,N,0,Y,15,FIRE,37.69473502,-119.6829
E1-PILA3,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-08-04,,,,,"cones, few flaglets, sparse canopy, browning needles at top",,,,,57.3,measured,19.6,measured,NONE,NONE,0,0,0,0,N,98,N,0,SPAR,37.69468096,-119.682837
E1-PILA4,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-08-04,,,,,"healthy, some brown needles",,,,,19.2,measured,7.8,measured,NONE,NONE,0,0,0,0,N,99,N,0,,37.69462497,-119.68284
E1-PILA5,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-08-04,,,,,"healthy, full canopy",,,,,12.8,measured,4.5,measured,NONE,NONE,0,0,0,0,N,100,N,0,,37.69465104,-119.682816
E1-PILA6,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"baby cones, brown/yellow needles, flaglets",,,,,27.1,measured,9.5,measured,NONE,NONE,0,0,0,0,N,96,N,0,,37.69549903,-119.683683
E1-PILA7,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"baby cones, dead branch mid canopy, yellow needles, crook, growing next to rock, big cone at top",,,,,42.9,measured,10.6,measured,NONE,NONE,0,0,0,0,N,98,N,0,CROK,37.69675397,-119.683182
E1-PILA8,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"baby cones, healthy, 1 pitch tube-prob DEPO?",,,,,65.3,measured,23,measured,NONE,NONE,0,0,0,0,N,99,Y,2.5,FIRE,37.69752,-119.683754
E1-PILA9,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"mech with healing, Btop, cones, LICH, yellow needles",,,,,51.9,measured,17.2,measured,NONE,NONE,0,0,0,0,N,97,Y,0.2,MECH|BROK,37.69759803,-119.683788
E1-PILA10,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"baby cones, yellow needles, LICH, old mech",,,,,50.3,measured,18.2,measured,NONE,NONE,0,0,0,0,N,97,Y,0.2,MECH|FIRE,37.69758102,-119.683794
E1-PILA11,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"flaglets, yellow needles, baby cones",,,,,38.3,measured,11.7,measured,NONE,NONE,0,0,0,0,N,97,N,0,,37.6971018,-119.6838753
E1-PILA12,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"SD, brown needles still attached, WB",,,,,33.5,measured,9.6,measured,DEPO,DEND,0,0,0,0,N,0,N,0,SD,37.69740701,-119.684044
E1-PILA13,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,no cones observed,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"old Btop, multi leaders, LICH, no cones",,,,,37.7,measured,8.6,measured,NONE,NONE,0,0,0,0,N,97,Y,1,BROK,37.69725203,-119.684119
E1-PILA14,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"1 baby cone, yellow needles, crook",,,,,30.5,measured,7.7,measured,NONE,NONE,0,0,0,0,N,97,N,0,CROK,37.69732201,-119.684371
E1-PILA15,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"cones, yellow needles, older leaders, pom-pom needles (JEC pic 11:02am)",,,,,31.8,measured,6.3,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.69689596,-119.684501
E1-PILA16,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"cones, sparse, 2nd leader far down (dead from supp)",,,,,30.5,measured,7.8,measured,NONE,NONE,0,0,0,0,N,97,N,0,SPAR,37.69704298,-119.684072
E1-PILA17,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"old FS pitch, supp",,,,,36.6,measured,11.4,measured,NONE,NONE,0,0,0,0,N,98,Y,2.5,FIRE,37.69679102,-119.684907
E1-PILA18,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"yellow needles, WF, NM",,,,,0,measured,1.2,measured,NONE,NONE,0,0,0,0,N,96,N,0,,37.69590497,-119.68589
E1-PILA19,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"cones, crook, yellow needles",,,,,51.8,measured,17.4,measured,NONE,NONE,0,0,0,0,N,96,N,0,CROK,37.69622298,-119.686414
E1-PILA20,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"baby cones, LICH, healthy",,,,,116.3,measured,34,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.69624603,-119.68633
E1-PILA21,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"cones, yellow needles",,,,,50.3,measured,15.6,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.69633899,-119.685882
E1-PILA22,1,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|MDM|EMS|EAS,2023-08-28,,,,,"cones, flaglets, dead branch tips (ipps?), FS with pitch",,,,,103.5,measured,30,measured,NONE,NONE,0,0,0,0,N,97,Y,12,FIRE,37.69698104,-119.686011
E10-PILA1,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"flaglets, dots of pitch on branches, looks singed but no fire scar,  all flags toward bottom, photos(3) @ 1:40PM",,,,,32.1,measured,12.2,measured,NONE,NONE,0,0,0,0,N,89,N,0,,37.5188407,-119.5275491
E10-PILA2,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"MECH, WF, NM, snow mold",,,,,0,measured,1,measured,NONE,NONE,0,0,0,0,N,97,N,0,MECH,37.5189891,-119.5277546
E10-PILA3,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"NM, WF",,,,,0,measured,1,measured,NONE,NONE,0,0,0,0,N,97,N,0,,37.51888852,-119.5279264
E10-PILA4,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"cryptoporus, wood borer, BROKE, FORK, older leader overgrown",,,,,70.9,measured,27.8,measured,DEPO,DEPO,0,0,0,0,Y,0,N,0,BROK,37.51887534,-119.5281719
E10-PILA5,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"a little MECH, WF, NM",,,,,0,measured,1.3,measured,NONE,NONE,0,0,0,0,N,98,N,0,MECH,37.51926047,-119.5280397
E10-PILA6,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"NM, WF, yellowing needles, MECH",,,,,0,measured,1,measured,NONE,NONE,0,0,0,0,N,95,N,0,MECH,37.51912683,-119.5281445
E10-PILA7,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,no cones observed,,,,JEC|SWA|TMD,2023-08-17,,,,,"reason for flags unclear, no cones",,,,,29.4,measured,18.3,measured,NONE,NONE,0,0,0,0,N,97,N,0,,37.51901404,-119.528426
E10-PILA8,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,no cones observed,,,,JEC|SWA|TMD,2023-08-17,,,,,flaglets no cones,,,,,21.5,measured,9.9,measured,NONE,NONE,0,0,0,0,N,97,N,0,,37.51901496,-119.528403
E10-PILA9,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|SWA|TMD,2023-08-17,,,,,"flaglets, old dead branch, baby cones",,,,,118.8,measured,39.5,measured,NONE,NONE,0,0,0,0,N,96,N,0,,37.51942545,-119.5272904
E10-PILA10,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|SWA|TMD,2023-08-17,,,,,"flaglets, baby cones",,,,,77.3,measured,37.8,measured,NONE,NONE,0,0,0,0,N,96,N,0,,37.51942557,-119.5272761
E10-PILA11,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,NA,,,,,12.5,measured,6.8,measured,NONE,NONE,0,0,0,0,N,99,N,0,,37.51944226,-119.5273575
E10-PILA12,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,no cones observed,,,,JEC|SWA|TMD,2023-08-17,,,,,"MECH, no cones",,,,,88.9,measured,33.7,measured,NONE,NONE,0,0,0,0,N,98,N,0,MECH,37.51922847,-119.5274073
E10-PILA13,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|SWA|TMD,2023-08-17,,,,,"cones, old dead branch very slightly suspicous, few flaglets",,,,,73.8,measured,26.5,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.517785,-119.526897
E10-PILA14,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,JEC|SWA|TMD,2023-08-17,,,,,"old dtop, baby cones",,,,,83.5,measured,30.7,measured,NONE,NONE,0,0,0,0,N,94,N,0,DTOP,37.51934997,-119.5277626
E10-PILA15,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,FORK,,,,,120.7,measured,43.6,measured,NONE,NONE,0,0,0,0,N,98,N,0,FORK,37.51979325,-119.5275575
E10-PILA16,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"height to live crown 27.3, including dead top",,,,,63.4,measured,21.5,measured,NONE,NONE,0,0,0,0,Y,97,N,0,,37.51970972,-119.5273622
E10-PILA17,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"LEAN, MECH, CROOK, sparse",,,,,9.4,measured,3,measured,NONE,NONE,0,0,0,0,N,98,N,0,LEAN|MECH|CROK,37.51963843,-119.5276076
